地域,可用区,机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
新加坡,新加坡一区,标准型S2,12,48,4.33,2.17,1.47,2232,2232,22230.72,40176,66960
新加坡,新加坡一区,标准型S2,16,32,3.86,1.93,1.31,1984,1984,19760.64,35712,59520
新加坡,新加坡一区,标准型S2,16,64,5.78,2.89,1.96,2976,2976,29640.96,53568,89280
新加坡,新加坡一区,标准型S2,24,48,5.78,2.89,1.97,2976,2976,29640.96,53568,89280
新加坡,新加坡一区,标准型S2,24,96,8.67,4.33,2.95,4464,4464,44461.44,80352,133920
新加坡,新加坡一区,标准型S2,32,64,7.71,3.86,2.62,3968,3968,39521.28,71424,119040
新加坡,新加坡一区,标准型S2,32,128,11.55,5.77,3.93,5952,5952,59281.92,107136,178560
新加坡,新加坡一区,标准型S2,56,224,20.22,10.11,6.88,10416,10416,103743.36,187488,312480
新加坡,新加坡一区,标准型S1,1,1,0.1,0.05,0.03,55,55,547.8,990,1650
新加坡,新加坡一区,标准型S1,1,2,0.2,0.1,0.07,108,108,1075.68,1944,3240
新加坡,新加坡一区,标准型S1,2,4,0.4,0.2,0.14,216,216,2151.36,3888,6480
新加坡,新加坡一区,标准型S1,2,8,0.7,0.35,0.24,360,360,3585.6,6480,10800
新加坡,新加坡一区,标准型S1,4,8,0.93,0.47,0.32,480,480,4780.8,8640,14400
新加坡,新加坡一区,标准型S1,4,16,1.4,0.7,0.47,720,720,7171.2,12960,21600
新加坡,新加坡一区,标准型S1,8,8,1.4,0.7,0.48,720,720,7171.2,12960,21600
新加坡,新加坡一区,标准型S1,8,16,1.86,0.93,0.63,960,960,9561.6,17280,28800
新加坡,新加坡一区,标准型S1,8,32,2.79,1.4,0.95,1440,1440,14342.4,25920,43200
新加坡,新加坡一区,标准型S1,12,24,2.8,1.4,0.95,1440,1440,14342.4,25920,43200
新加坡,新加坡一区,标准型S1,12,48,4.19,2.09,1.42,2160,2160,21513.6,38880,64800
新加坡,新加坡一区,标准型S1,16,32,3.73,1.86,1.27,1920,1920,19123.2,34560,57600
新加坡,新加坡一区,标准型S1,16,64,5.58,2.79,1.9,2880,2880,28684.8,51840,86400
新加坡,新加坡一区,标准型S1,24,48,5.59,2.8,1.9,2880,2880,28684.8,51840,86400
新加坡,新加坡一区,标准型S1,32,64,7.46,3.73,2.54,3840,3840,38246.4,69120,115200
新加坡,新加坡一区,标准型S1,48,96,11.18,5.59,3.8,5760,5760,57369.6,103680,172800
新加坡,新加坡一区,内存型M5,1,8,0.48,0.48,0.48,231,231,2300.76,4158,6930
新加坡,新加坡一区,内存型M5,2,16,0.96,0.96,0.96,462,462,4601.52,8316,13860
新加坡,新加坡一区,内存型M5,4,32,1.92,1.92,1.92,924,924,9203.04,16632,27720
新加坡,新加坡一区,内存型M5,8,64,3.85,3.85,3.85,1848,1848,18406.08,33264,55440
新加坡,新加坡一区,内存型M5,12,96,5.77,5.77,5.77,2772,2772,27609.12,49896,83160
新加坡,新加坡一区,内存型M5,16,128,7.7,7.7,7.7,3696,3696,36812.16,66528,110880
新加坡,新加坡一区,内存型M5,24,192,11.55,11.55,11.55,5544,5544,55218.24,99792,166320
新加坡,新加坡一区,内存型M5,32,256,15.4,15.4,15.4,7392,7392,73624.32,133056,221760
新加坡,新加坡一区,内存型M5,42,350,20.82,20.82,20.82,9996,9996,99560.16,179928,299880
新加坡,新加坡二区,内存型M5,64,512,30.8,30.8,30.8,14784,14784,147248.64,266112,443520
新加坡,新加坡二区,内存型M5,84,700,41.64,41.64,41.64,19992,19992,199120.32,359856,599760
新加坡,新加坡一区,内存型M3,1,8,0.48,0.24,0.16,231,231,2300.76,4158,6930
新加坡,新加坡一区,内存型M3,2,16,0.97,0.48,0.33,462,462,4601.52,8316,13860
新加坡,新加坡一区,内存型M3,4,32,1.93,0.97,0.66,924,924,9203.04,16632,27720
新加坡,新加坡一区,内存型M3,8,64,3.86,1.93,1.31,1848,1848,18406.08,33264,55440
新加坡,新加坡一区,内存型M3,12,96,5.8,2.9,1.97,2772,2772,27609.12,49896,83160
新加坡,新加坡一区,内存型M3,12,144,7.91,3.95,2.69,3780,3780,37648.8,68040,113400
新加坡,新加坡一区,内存型M3,16,128,7.73,3.86,2.63,3696,3696,36812.16,66528,110880
新加坡,新加坡一区,内存型M3,16,192,10.54,5.27,3.59,5040,5040,50198.4,90720,151200
新加坡,新加坡一区,内存型M3,32,256,15.45,7.73,5.26,7392,7392,73624.32,133056,221760
新加坡,新加坡一区,内存型M3,32,384,21.09,10.54,7.18,10080,10080,100396.8,181440,302400
新加坡,新加坡一区,内存型M3,64,512,30.91,15.45,10.52,14784,14784,147248.64,266112,443520
新加坡,新加坡一区,内存型M3,80,700,41.27,20.64,14.05,19740,19740,196610.4,355320,592200
新加坡,新加坡一区,内存型M2,1,8,0.48,0.24,0.16,247.5,247.5,2465.1,4455,7425
新加坡,新加坡一区,内存型M2,2,16,0.97,0.48,0.33,495,495,4930.2,8910,14850
新加坡,新加坡一区,内存型M2,4,32,1.93,0.97,0.66,990,990,9860.4,17820,29700
新加坡,新加坡一区,内存型M2,8,64,3.86,1.93,1.31,1980,1980,19720.8,35640,59400
新加坡,新加坡一区,内存型M2,12,96,5.8,2.9,1.97,2970,2970,29581.2,53460,89100
